Time_Stamp,Year,Month,Response_ID,Hunger_Experience,Moving_Times,Self_Confidence,Hometown,Age,Parental_Income,Race_Ethnicity,School_Year,Transfer_Student,College,Gender_Identity,Sex,Living_Location,
5/3/2021 0:20,2021,May,83,No,6,Agree somewhat,"Westbury, 11801",21,"Below $40,000",Asian,3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/3/2021 8:54,2021,May,84,No,1,Don't know / not applicable,"Seoul, South Korea 05572",21,"More than $750,000",Asian,3rd year undergraduate,Yes,College of Arts and Sciences,Woman,Female,Off campus,
5/3/2021 10:01,2021,May,85,No,4,Agree slightly,"rockville, md 20850",22,"$175,000 - $299,999","White (of European descent),Hispanic",4th year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,Off campus,
5/3/2021 11:24,2021,May,86,No,2,Don't know / not applicable,"River Edge, NJ, 07661",21,"$175,000 - $299,999",Asian,4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/3/2021 11:37,2021,May,87,No,1,Agree slightly,"New Rochelle, NY 10804",20,"$175,000 - $299,999",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/3/2021 11:29,2021,May,88,Yes,0,Don't know / not applicable,"Easton, CT 06612",19,"$500,000 - $749,999",White (of European descent),2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/3/2021 11:25,2021,May,89,No,2,Agree somewhat,"Allen, Texas, 75013",18,"$300,000 - $499,999",Asian,1st year undergraduate,No,SC Johnson College of Business,Man,Male,On campus,
5/3/2021 12:13,2021,May,90,No,2,Agree slightly,"Hangzhou, Zhejiang, 310052",19,"$100,000 - $174,999",Asian,1st year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/3/2021 12:56,2021,May,91,Yes,2,Agree somewhat,"Encinitas, California 92024",18,"$300,000 - $499,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/3/2021 8:57,2021,May,92,No,0,Agree slightly,"Greenwich, CT 06830",21,"More than $750,000",White (of European descent),3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/3/2021 18:11,2021,May,93,No,2,Agree slightly,"Princeton, New Jersey 08540",20,"$300,000 - $499,999",White (of European descent),2nd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
5/3/2021 21:04,2021,May,94,No,2,Agree somewhat,Manila,20,"$500,000 - $749,999",Asian,2nd year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/3/2021 21:05,2021,May,95,No,0,Agree slightly,"Secaucus, New Jersey 07094",18,"$100,000 - $174,999",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/3/2021 22:17,2021,May,96,No,1,Disagree slightly,"Port Washington, New York 11050",19,"More than $750,000",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/3/2021 23:00,2021,May,97,No,0,Don't know / not applicable,"Taipei, Taiwan 10868",22,"$100,000 - $174,999",Asian,4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/4/2021 8:07,2021,May,98,No,4,Agree slightly,"Laurel, New York 11948",19,"$300,000 - $499,999",Asian,2nd year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/4/2021 10:07,2021,May,99,Yes,2,Disagree slightly,"Brooklyn, NY 11234",19,"Below $40,000",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/4/2021 10:59,2021,May,100,No,4,Agree somewhat,"New York, New York 11361",20,"$40,000 - $59,999",Asian,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/4/2021 11:43,2021,May,101,No,1,Agree slightly,"East Northport, NY, 11731",21,"$100,000 - $174,999","White (of European descent),Hispanic",4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/4/2021 12:57,2021,May,102,No,1,Agree somewhat,"South Gate, CA 90280",18,"$40,000 - $59,999",Hispanic,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/4/2021 12:55,2021,May,103,No,0,Don't know / not applicable,"Jackson, WY 83001",20,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/4/2021 18:38,2021,May,104,No,2,Agree somewhat,"Chappaqua, NY 10514",20,"$500,000 - $749,999",White (of European descent),2nd year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,Off campus,
5/5/2021 8:34,2021,May,105,Don't know,4,Agree slightly,"Greenwich, CT 06830",22,"$300,000 - $499,999",White (of European descent),4th year undergraduate,Yes,College of Arts and Sciences,Woman,Female,Off campus,
5/5/2021 20:40,2021,May,106,No,0,Agree somewhat,"Rochester, NY, 14618",20,"$100,000 - $174,999",White (of European descent),3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/5/2021 21:33,2021,May,107,No,0,Don't know / not applicable,"new york, new york 10021",21,"More than $750,000",White (of European descent),3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/5/2021 19:20,2021,May,108,No,0,Disagree somewhat,"Stamford, CT, 06905",20,"$500,000 - $749,999",White (of European descent),2nd year undergraduate,Yes,College of Human Ecology,Man,Male,Off campus,
5/6/2021 1:23,2021,May,109,No,5,Disagree slightly,"Wheatley Hts, NY, 11708",20,"$40,000 - $59,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/6/2021 9:04,2021,May,110,No,2,Don't know / not applicable,"Boulder, Colorado 80305",20,"$500,000 - $749,999",White (of European descent),2nd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/6/2021 11:15,2021,May,111,No,1,Agree somewhat,"Palo Alto, California 94306",22,"$500,000 - $749,999",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/6/2021 13:10,2021,May,112,No,1,Agree slightly,"Rye Neck, NY, 10543",19,"$500,000 - $749,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/6/2021 12:13,2021,May,113,No,1,Agree somewhat,"Shanghai, China",21,"$175,000 - $299,999",Asian,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/6/2021 13:17,2021,May,114,No,8,Don't know / not applicable,"Boston, Massachusetts, 02116",22,"$300,000 - $499,999","White (of European descent),Asian",3rd year undergraduate,No,College of Human Ecology,Man,Male,Off campus,
5/6/2021 14:40,2021,May,115,No,2,Agree somewhat,"Dayton, OHIO 45458",21,"$175,000 - $299,999",Asian,4th year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/6/2021 14:46,2021,May,116,No,1,Disagree slightly,"Orleans, Massachusetts 02653",19,"$175,000 - $299,999",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/6/2021 17:13,2021,May,117,No,3,Don't know / not applicable,"Hangzhou, Zhejiang, 310012",19,"$175,000 - $299,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/6/2021 18:08,2021,May,118,No,7,Agree slightly,"Beijing, China",20,"Below $40,000",Asian,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/6/2021 21:17,2021,May,119,No,0,Agree slightly,"Baldwin, New York, 11510",20,"$175,000 - $299,999","Black,Hispanic",2nd year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/7/2021 7:41,2021,May,120,No,3,Agree slightly,"Upper East Side, Manhattan, New York City, 10075",18,"$500,000 - $749,999",Hispanic,1st year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/7/2021 9:11,2021,May,121,No,1,Agree slightly,"Rockville Centre, NY, 11570",20,"$60,000 - $99,999","White (of European descent),Hispanic",2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/7/2021 11:38,2021,May,122,No,0,Agree slightly,"Long Beach, New York 11561",20,"Below $40,000",White (of European descent),3rd year undergraduate,No,College of Human Ecology,Man,Male,Off campus,
5/7/2021 11:40,2021,May,123,No,1,Don't know / not applicable,"Brooklyn, NY 11214",20,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
4/30/2021 12:05,2021,April,124,,,,,,,,,,,,,,
5/7/2021 13:03,2021,May,125,No,4,Agree slightly,"Huntington, NY 11743",21,"$60,000 - $99,999",White (of European descent),4th year undergraduate,No,School of Industrial and Labor Relations,Man,Male,Off campus,
5/7/2021 12:52,2021,May,126,No,0,Agree slightly,"Howell, New Jersey 07731",21,"$100,000 - $174,999",White (of European descent),3rd year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/7/2021 13:55,2021,May,127,No,5,Agree slightly,"Woodcliff Lake, New Jersey 07677",20,"$300,000 - $499,999",White (of European descent),2nd year undergraduate,Yes,College of Human Ecology,Man,Male,On campus,
5/7/2021 18:15,2021,May,128,No,5,Agree slightly,"Seoul, Korea, 04387",21,"$100,000 - $174,999",Asian,3rd year undergraduate,Yes,College of Agriculture and Life Sciences,Man,Male,Off campus,
5/7/2021 18:56,2021,May,129,No,0,Agree somewhat,"Delhi, India 110065",19,"$175,000 - $299,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/7/2021 21:28,2021,May,130,No,1,Don't know / not applicable,"Durham, North Carolina  27713",19,"Below $40,000",Asian,1st year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/8/2021 9:56,2021,May,131,No,2,Agree slightly,"Overland Park, Kansas, 66223",22,"$300,000 - $499,999",White (of European descent),4th year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/8/2021 14:55,2021,May,132,No,4,Agree somewhat,"West Windsor, NJ 08550",21,"$100,000 - $174,999",Asian,4th year undergraduate,Yes,College of Arts and Sciences,Woman,Female,On campus,
5/8/2021 15:05,2021,May,133,No,4,Agree somewhat,"Savannah, Georgia 31324",21,"$60,000 - $99,999",Black,3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/8/2021 16:35,2021,May,134,No,2,Agree slightly,"New York, New York 10075",20,"$300,000 - $499,999","White (of European descent),Asian",2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/1/2021 19:07,2021,May,135,No,,Agree strongly,,,,,,,,,,,
5/1/2021 19:35,2021,May,136,,,,,,,,,,,,,,
5/1/2021 19:37,2021,May,137,,,,,,,,,,,,,,
5/8/2021 19:54,2021,May,138,Yes,0,Agree slightly,"Brownsville, Texas 78521",20,"$100,000 - $174,999",Hispanic,2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/8/2021 21:04,2021,May,139,No,3,Agree somewhat,"Pelham, NH 03076",21,"$100,000 - $174,999",White (of European descent),3rd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/2/2021 11:57,2021,May,140,,,,,,,,,,,,,,
5/9/2021 12:43,2021,May,141,No,0,Agree slightly,"Princeton, NJ 08540 ",22,"$300,000 - $499,999",White (of European descent),4th year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,Off campus,
5/9/2021 12:08,2021,May,142,Yes,1,Agree slightly,"South Richmond Hill, New York 11419",20,"Below $40,000","Black,Asian",3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/9/2021 13:57,2021,May,143,No,3,Agree slightly,"New York, NY 10065",20,"$500,000 - $749,999",White (of European descent),3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/2/2021 16:27,2021,May,144,,,,,,,,,,,,,,
5/7/2021 12:59,2021,May,145,No,3,Don't know / not applicable,"Queens, New York 11364",20,"$100,000 - $174,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/9/2021 20:15,2021,May,146,No,0,Agree somewhat,"Patterson, New York 12563",20,"$100,000 - $174,999","White (of European descent),Black",3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/2/2021 21:46,2021,May,147,,,,,,,,,,,,,,
5/9/2021 21:32,2021,May,148,Yes,9,Disagree strongly,"Bundang, South Korea",23,"$40,000 - $59,999",Asian,4th year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
5/9/2021 22:14,2021,May,149,No,0,Agree slightly,"West Orange, New Jersey, 07052",20,"$500,000 - $749,999",Black,3rd year undergraduate,No,College of Engineering,Woman,Female,On campus,
